ID,Date,Primary Type,Location Description,Arrest,Latitude,Longitude
8421488,01/01/2012 01:19:00 AM,ARSON,RESIDENCE PORCH/HALLWAY,False,41.994586517,-87.657610865
8423396,01/02/2012 10:48:00 PM,ARSON,RESIDENCE-GARAGE,False,41.873414354,-87.728269323
8425593,01/03/2012 08:59:00 PM,ARSON,VEHICLE NON-COMMERCIAL,False,41.886524426,-87.744256733
8426392,01/04/2012 09:30:00 PM,ARSON,RESIDENTIAL YARD (FRONT/BACK),False,41.769626279,-87.684600022
8426550,01/05/2012 02:21:00 AM,ARSON,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,False,41.682243383,-87.642057528
8426557,01/05/2012 04:45:00 AM,ARSON,RESIDENCE PORCH/HALLWAY,False,41.773341845,-87.585250879
8428712,01/06/2012 10:00:00 AM,ARSON,RESIDENCE-GARAGE,False,41.896299943,-87.715120638
8429792,01/06/2012 11:30:00 PM,ARSON,APARTMENT,False,41.879860127,-87.771384873
8430140,01/07/2012 04:22:00 AM,ARSON,RESIDENTIAL YARD (FRONT/BACK),False,41.921073825,-87.751140977
8430776,01/08/2012 01:25:00 AM,ARSON,STREET,False,41.97997359,-87.767180743
8431721,01/08/2012 11:15:00 PM,ARSON,DAY CARE CENTER,False,41.759022365,-87.563682751
8431728,01/08/2012 11:15:00 PM,ARSON,VEHICLE NON-COMMERCIAL,False,41.77395769,-87.735345594
8432143,01/09/2012 08:15:00 AM,ARSON,RESTAURANT,False,41.895513392,-87.710742689
8433189,01/09/2012 06:30:00 PM,ARSON,VEHICLE NON-COMMERCIAL,False,41.728757956,-87.593732702
8433285,01/09/2012 09:35:00 PM,ARSON,VEHICLE NON-COMMERCIAL,False,41.911282534,-87.759892978
8435079,01/11/2012 01:25:00 AM,ARSON,VEHICLE NON-COMMERCIAL,False,41.855466983,-87.701774663
8439685,01/14/2012 03:15:00 AM,ARSON,APARTMENT,False,41.763635959,-87.693002917
8439741,01/14/2012 04:38:00 AM,ARSON,APARTMENT,True,41.77857777,-87.729322944
8441263,01/15/2012 09:30:00 PM,ARSON,DRIVEWAY - RESIDENTIAL,False,41.750570213,-87.60152637
8441781,01/16/2012 10:56:00 AM,ARSON,RESIDENCE,False,41.733322448,-87.66177779
8442388,01/16/2012 10:20:00 PM,ARSON,RESIDENCE-GARAGE,False,41.937704603,-87.701456392
8442450,01/17/2012 01:50:00 AM,ARSON,BARBERSHOP,False,41.858875593,-87.72417387
8442913,01/17/2012 09:05:00 AM,ARSON,APARTMENT,False,41.748042884,-87.664592685
8445469,01/18/2012 08:31:00 PM,ARSON,GROCERY FOOD STORE,False,41.750400515,-87.660408795
8446498,01/17/2012 06:30:00 AM,ARSON,RESIDENCE,True,41.995278839,-87.682442158
8449854,01/23/2012 01:25:00 AM,ARSON,RESTAURANT,False,41.892517133,-87.745722214
8450707,01/23/2012 03:30:00 AM,ARSON,STREET,False,41.927896236,-87.747415136
8451457,01/24/2012 02:53:00 AM,ARSON,VEHICLE NON-COMMERCIAL,False,41.912135019,-87.731287459
8451458,01/24/2012 02:50:00 AM,ARSON,VEHICLE NON-COMMERCIAL,False,41.910725183,-87.732468992
8454851,01/26/2012 12:41:00 AM,ARSON,RESIDENCE-GARAGE,False,41.849155434,-87.69684878
8456942,01/26/2012 05:00:00 AM,ARSON,RESIDENCE,False,41.904628748,-87.710051684
8459420,01/29/2012 10:42:00 AM,ARSON,RESIDENCE,True,41.657917246,-87.596084425
8460583,01/29/2012 08:00:00 PM,ARSON,CHA PARKING LOT/GROUNDS,False,41.656527347,-87.602332158
8461701,01/31/2012 01:49:00 AM,ARSON,RESIDENCE,True,41.777995665,-87.706216282
8461707,01/31/2012 01:10:00 AM,ARSON,RESIDENCE-GARAGE,True,41.775266755,-87.70652149
8461708,01/31/2012 01:10:00 AM,ARSON,RESIDENCE-GARAGE,True,41.775267295,-87.70662047
8462244,01/31/2012 05:40:00 AM,ARSON,RESIDENCE,False,41.706812021,-87.691501601
8462334,01/31/2012 07:35:00 AM,ARSON,VEHICLE NON-COMMERCIAL,False,41.883176805,-87.741125656
8462470,01/31/2012 07:30:00 AM,ARSON,RESIDENCE,False,41.728893348,-87.598581569
8463481,02/01/2012 04:24:00 AM,ARSON,RESIDENCE,False,41.777829443,-87.611962305
8466997,02/03/2012 07:30:00 AM,ARSON,VEHICLE NON-COMMERCIAL,False,41.758089919,-87.633737995
8467423,02/03/2012 11:14:00 AM,ARSON,VEHICLE NON-COMMERCIAL,False,41.800562205,-87.669625236
8471571,02/06/2012 07:35:00 PM,ARSON,APARTMENT,False,41.824237868,-87.670235628
8473356,02/08/2012 04:41:00 AM,ARSON,RESIDENCE,False,41.938700188,-87.643661118
8474753,02/09/2012 03:30:00 AM,ARSON,RESIDENCE-GARAGE,False,41.853906605,-87.681829326
8483207,02/16/2012 02:20:00 AM,ARSON,VEHICLE NON-COMMERCIAL,False,41.807837783,-87.658872712
8483730,02/16/2012 09:15:00 AM,ARSON,STREET,False,41.662712614,-87.642632436
8485380,02/17/2012 11:10:00 AM,ARSON,VEHICLE NON-COMMERCIAL,False,41.927895992,-87.747367365
8486397,02/18/2012 06:50:00 AM,ARSON,APARTMENT,True,41.96901359,-87.660455237
8487455,02/19/2012 10:28:00 AM,ARSON,STREET,True,41.891782115,-87.76655721
8488002,02/20/2012 02:45:00 AM,ARSON,VEHICLE NON-COMMERCIAL,False,41.996401399,-87.69716052
8490765,02/22/2012 03:06:00 AM,ARSON,APARTMENT,True,41.962361027,-87.654756322
8491992,02/23/2012 02:20:00 AM,ARSON,APARTMENT,False,41.890703091,-87.750550083
8492377,02/23/2012 07:00:00 AM,ARSON,ABANDONED BUILDING,False,41.773135838,-87.642633156
8493395,02/23/2012 09:10:00 PM,ARSON,RESIDENCE PORCH/HALLWAY,False,41.974294529,-87.724560976
8493479,02/23/2012 09:21:00 PM,ARSON,RESIDENCE PORCH/HALLWAY,False,41.971894167,-87.72730876
8494994,02/24/2012 08:24:00 PM,ARSON,APARTMENT,False,41.879860127,-87.771384873
8495332,02/25/2012 10:20:00 AM,ARSON,RESIDENTIAL YARD (FRONT/BACK),False,41.694525182,-87.661646944
8496252,02/26/2012 12:52:00 PM,ARSON,ABANDONED BUILDING,False,41.691638989,-87.626553651
8499660,02/28/2012 08:05:00 PM,ARSON,CHA APARTMENT,True,41.655660527,-87.59680543
8499869,02/29/2012 04:00:00 AM,ARSON,VEHICLE NON-COMMERCIAL,False,41.924254716,-87.691480231
8501340,03/01/2012 03:10:00 AM,ARSON,FACTORY/MANUFACTURING BUILDING,False,41.850803837,-87.725560799
8502473,02/27/2012 08:00:00 PM,ARSON,VEHICLE NON-COMMERCIAL,False,41.796143363,-87.735498799
8504585,03/03/2012 02:27:00 AM,ARSON,VEHICLE NON-COMMERCIAL,True,41.722616325,-87.62869054
8505307,03/03/2012 08:28:00 PM,ARSON,RESIDENCE-GARAGE,False,41.785711644,-87.691136952
8505589,03/03/2012 11:55:00 PM,ARSON,RESIDENCE,False,41.797431742,-87.772208239
8505909,03/04/2012 06:20:00 AM,ARSON,APARTMENT,False,41.766988136,-87.575101271
8506449,03/05/2012 02:30:00 AM,ARSON,RESIDENCE-GARAGE,False,41.939355367,-87.704226118
8509077,03/06/2012 12:30:00 AM,ARSON,RESIDENCE,False,41.798425654,-87.702478072
8509080,03/07/2012 01:30:00 AM,ARSON,RESIDENCE-GARAGE,False,41.801104078,-87.687172669
8509491,03/07/2012 06:43:00 AM,ARSON,RESIDENCE,False,41.812179788,-87.751841995
8510513,03/07/2012 08:30:00 PM,ARSON,VEHICLE NON-COMMERCIAL,False,41.865362129,-87.717830789
8510680,03/07/2012 10:37:00 PM,ARSON,RESIDENCE,False,42.001883866,-87.696094161
8511091,03/06/2012 03:02:00 AM,ARSON,ALLEY,False,41.934774667,-87.71676324
8513436,03/08/2012 09:00:00 PM,ARSON,VEHICLE NON-COMMERCIAL,False,41.923234205,-87.724289638
8513858,03/09/2012 07:45:00 PM,ARSON,STREET,False,41.99285243,-87.672262539
8513925,03/09/2012 08:52:00 PM,ARSON,VEHICLE NON-COMMERCIAL,False,41.936335832,-87.650743194
8514123,03/10/2012 03:05:00 AM,ARSON,VEHICLE NON-COMMERCIAL,False,41.878334186,-87.697179887
8514661,03/10/2012 03:30:00 PM,ARSON,RESIDENCE,False,41.732031676,-87.608335046
8515185,03/10/2012 11:30:00 PM,ARSON,VEHICLE NON-COMMERCIAL,False,41.879425509,-87.751342911
8516645,03/12/2012 09:18:00 AM,ARSON,VEHICLE NON-COMMERCIAL,False,41.764293212,-87.58010338
8517493,03/12/2012 08:30:00 PM,ARSON,VEHICLE NON-COMMERCIAL,False,41.765755571,-87.576292427
8520964,03/14/2012 05:50:00 PM,ARSON,OTHER,False,41.87373811,-87.701752707
8522411,03/14/2012 11:22:00 PM,ARSON,RESIDENCE-GARAGE,False,41.96871975,-87.737918099
8524014,03/17/2012 02:18:00 AM,ARSON,VEHICLE NON-COMMERCIAL,False,41.753819454,-87.644126664
8525307,03/18/2012 04:30:00 AM,ARSON,VEHICLE NON-COMMERCIAL,False,41.9036575,-87.723895321
8525435,03/18/2012 09:20:00 AM,ARSON,VEHICLE NON-COMMERCIAL,False,41.702438584,-87.625768921
8525868,03/12/2012 04:27:00 PM,ARSON,VEHICLE NON-COMMERCIAL,False,41.777412992,-87.633366711
8528173,03/20/2012 01:12:00 AM,ARSON,RESIDENCE,False,41.751174826,-87.548036521
8531596,03/21/2012 05:20:00 PM,ARSON,RESIDENCE,False,41.73350388,-87.612022514
8531752,03/21/2012 09:15:00 PM,ARSON,VEHICLE NON-COMMERCIAL,False,41.885985436,-87.722506193
8531876,03/22/2012 12:45:00 AM,ARSON,VEHICLE NON-COMMERCIAL,False,41.910456169,-87.728794006
8532253,03/21/2012 05:30:00 PM,ARSON,CONSTRUCTION SITE,False,41.894907524,-87.758768643
8533600,03/22/2012 10:34:00 PM,ARSON,RESIDENCE,True,41.851602787,-87.720465972
8533707,03/22/2012 11:15:00 PM,ARSON,RESIDENCE-GARAGE,False,41.782118891,-87.688602589
8536771,03/25/2012 05:50:00 AM,ARSON,VEHICLE NON-COMMERCIAL,False,41.951658843,-87.77672482
8537190,03/25/2012 10:35:00 AM,ARSON,VEHICLE NON-COMMERCIAL,False,41.934042089,-87.740761924
8539538,03/27/2012 12:10:00 AM,ARSON,VEHICLE NON-COMMERCIAL,False,41.953508869,-87.740092691
8543201,03/28/2012 09:15:00 PM,ARSON,RESIDENCE,False,41.727087796,-87.597327295
8544722,03/30/2012 02:30:00 AM,ARSON,VEHICLE NON-COMMERCIAL,False,41.800686734,-87.65990127
8544956,03/30/2012 04:23:00 AM,ARSON,RESIDENCE,False,41.751246152,-87.558949206
8547264,04/01/2012 01:20:00 AM,ARSON,VEHICLE NON-COMMERCIAL,False,41.970983112,-87.713435548
8549270,04/02/2012 03:29:00 PM,ARSON,VEHICLE NON-COMMERCIAL,False,41.884776788,-87.682331057
8549757,04/02/2012 11:45:00 PM,ARSON,RESIDENCE,False,41.866346741,-87.772931369
8549762,04/03/2012 02:25:00 AM,ARSON,RESIDENTIAL YARD (FRONT/BACK),False,41.751246152,-87.558949206
8550050,04/03/2012 06:45:00 AM,ARSON,VEHICLE NON-COMMERCIAL,False,41.899806157,-87.729908278
8550367,04/03/2012 07:00:00 AM,ARSON,RESIDENCE,False,42.000875194,-87.666826517
8551485,04/04/2012 02:15:00 AM,ARSON,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,False,41.752090412,-87.653779875
8552827,04/04/2012 08:05:00 PM,ARSON,RESIDENCE,False,41.750680175,-87.566215768
8552860,04/05/2012 02:14:00 AM,ARSON,STREET,False,41.93184703,-87.767481581
8553754,04/05/2012 03:05:00 AM,ARSON,COMMERCIAL / BUSINESS OFFICE,False,41.849990271,-87.646457361
8554095,04/05/2012 04:00:00 PM,ARSON,RESIDENCE,False,41.686334757,-87.650708723
8555847,04/06/2012 09:06:00 PM,ARSON,RESIDENCE-GARAGE,False,41.900331047,-87.764461326
8556028,04/07/2012 02:00:00 AM,ARSON,VEHICLE NON-COMMERCIAL,False,41.91895337,-87.769454713
8559524,04/09/2012 09:22:00 PM,ARSON,RESIDENCE PORCH/HALLWAY,False,42.003026112,-87.67052737
8559607,04/10/2012 12:50:00 AM,ARSON,VEHICLE NON-COMMERCIAL,False,41.898426363,-87.700444287
8560521,04/10/2012 02:20:00 AM,ARSON,VEHICLE NON-COMMERCIAL,False,41.901604744,-87.710584339
8561432,04/11/2012 03:30:00 AM,ARSON,VEHICLE NON-COMMERCIAL,False,41.775846138,-87.663306744
8561449,04/11/2012 03:30:00 AM,ARSON,RESIDENCE,False,41.761576526,-87.578038592
8564895,04/13/2012 12:36:00 AM,ARSON,VEHICLE NON-COMMERCIAL,True,41.8469906,-87.722183606
8566515,04/14/2012 02:20:00 AM,ARSON,VEHICLE NON-COMMERCIAL,True,41.938456767,-87.702000282
8566784,04/13/2012 11:00:00 PM,ARSON,RESIDENCE,False,41.893479454,-87.763512091
8567605,04/15/2012 02:31:00 AM,ARSON,ABANDONED BUILDING,False,41.878856397,-87.726745508
8567757,04/15/2012 06:25:00 AM,ARSON,RESIDENCE,False,41.789304119,-87.676609489
8570473,04/17/2012 12:03:00 AM,ARSON,APARTMENT,True,41.877498158,-87.760444798
8572253,04/17/2012 09:53:00 PM,ARSON,VEHICLE NON-COMMERCIAL,False,41.831178131,-87.685626407
8573562,04/18/2012 06:25:00 PM,ARSON,RESIDENCE-GARAGE,False,41.928770645,-87.749913407
8573681,04/18/2012 07:40:00 PM,ARSON,VEHICLE NON-COMMERCIAL,False,41.898033319,-87.700830172
8573898,04/19/2012 12:25:00 AM,ARSON,VEHICLE NON-COMMERCIAL,False,41.931096211,-87.778957962
8573906,04/19/2012 01:36:00 AM,ARSON,VEHICLE NON-COMMERCIAL,False,41.865607812,-87.704420974
8575331,04/19/2012 06:13:00 PM,ARSON,VEHICLE NON-COMMERCIAL,True,41.901038772,-87.754518775
8575643,04/20/2012 03:35:00 AM,ARSON,WAREHOUSE,False,41.852750046,-87.640815604
8577918,04/21/2012 05:00:00 PM,ARSON,ABANDONED BUILDING,False,41.780753935,-87.650888836
8578142,04/21/2012 07:40:00 PM,ARSON,ABANDONED BUILDING,False,41.780737448,-87.650885344
8578185,04/21/2012 10:00:00 PM,ARSON,ABANDONED BUILDING,False,41.780583393,-87.654527718
8578187,04/21/2012 09:50:00 PM,ARSON,GOVERNMENT BUILDING/PROPERTY,False,41.937887307,-87.781056615
8579188,04/21/2012 09:52:00 PM,ARSON,ABANDONED BUILDING,False,41.780792352,-87.650888428
8580850,04/23/2012 11:55:00 PM,ARSON,VEHICLE NON-COMMERCIAL,False,41.837796837,-87.713390474
8580911,04/24/2012 03:40:00 AM,ARSON,RESIDENCE PORCH/HALLWAY,False,41.68282621,-87.630014421
8580919,04/24/2012 04:30:00 AM,ARSON,VEHICLE NON-COMMERCIAL,False,41.688317671,-87.627783544
8581731,04/24/2012 02:30:00 AM,ARSON,RESIDENCE,False,41.740018014,-87.556332391
8582557,04/24/2012 10:30:00 PM,ARSON,VEHICLE NON-COMMERCIAL,False,41.797374202,-87.691999717
8587363,04/28/2012 02:37:00 AM,ARSON,VEHICLE NON-COMMERCIAL,False,42.015388084,-87.680481853
