ID,Place,Name,Distance
8421488,book_store,Loyola University Bookstore,0.574
8421488,school,Roger C Sullivan High School,1.307
8421488,school,Nicholas Senn High School,0.978
8421488,real_estate_agency,Sheridan Hollywood Tower,1.053
8421488,hospital,Planned Parenthood - Rogers Park Health Center,0.940
8421488,point_of_interest,Edgewater Plaza Condominium,1.528
8423396,school,Marshall Metropolitan High School,1.867
8423396,hospital,RML Specialty Hospital,1.337
8423396,general_contractor,Cabo Construction Corporation,1.164
8423396,store,Chicago Booth Manufacturing Inc.,1.805
8423396,school,Holy Family Ministry School,1.424
8423396,school,DRW College Prep,1.548
8425593,school,Austin College and Career Academy,1.520
8425593,restaurant,MacArthurs Restaurant,1.514
8425593,church,Our Lady Help of Christians Roman Catholic Church,1.358
8425593,point_of_interest,Change of Life Foundation,1.309
8425593,point_of_interest,Chicago Beverage Systems LLC,0.674
8425593,school,Spencer Elementary Technology Academy,0.564
8426392,hospital,Holy Cross Hospital,0.647
8426392,convenience_store,Walgreens,0.637
8426392,school,Lindblom Math and Science Academy,1.727
8426392,doctor,Holy Cross Hospital: Arjmand Susan B MD,0.646
8426392,doctor,Holy Cross Hospital: Amin Sanjay J MD,0.646
8426392,doctor,Dr. Karen Raden DO,0.646
8426550,restaurant,Subway Restaurants,0.106
8426550,clothing_store,Burlington,1.830
8426550,restaurant,Subway Restaurants,1.735
8426550,clothing_store,DTLR,0.238
8426550,accounting,Fredrick Eleanore L,1.613
8426550,storage,Public Storage,1.196
8426557,hospital,La Rabida Children’s Hospital,1.228
8426557,hospital,Jackson Park Hospital & Medical Center,1.741
8426557,bicycle_store,Blackstone Bicycle Works,1.273
8426557,university,Muhammad University of Islam,1.371
8426557,church,Rockefeller Memorial Chapel,1.955
8426557,museum,Museum of Science and Industry Chicago,1.924
8428712,hospital,Norwegian American Hospital,1.397
8428712,school,Westinghouse College Prep High School,1.001
8428712,lodging,Norford Hotel,1.661
8428712,point_of_interest,Chicago Hot Glass Inc,0.904
8428712,grocery_or_supermarket,ALDI,0.551
8428712,school,Jacob Beidler Elementary School,1.497
8429792,lodging,Harvey House Bed & Breakfast,1.583
8429792,doctor,West Suburban Medical Center: Kao Bob M MD,1.338
8429792,school,Austin College and Career Academy,0.933
8429792,park,Columbus Park,0.638
8429792,health,Hartgrove Behavioral Health System,1.522
8429792,hospital,Fresenius Medical Care at Loretto Hospital,1.072
8430140,department_store,Walmart Supercenter,1.255
8430140,hardware_store,The Home Depot,0.794
8430140,meal_takeaway,Little Caesars Pizza,1.269
8430140,point_of_interest,Accurate Industries,0.167
8430140,convenience_store,Walgreens,0.452
8430140,hardware_store,Menards,1.876
8430776,lawyer,Budzik & Dynia,1.320
8430776,grocery_or_supermarket,Whole Foods Market,1.898
8430776,local_government_office,Office of the City Clerk,1.092
8430776,local_government_office,Social Security Administration,1.323
8430776,doctor,Charles E. Kaegi MDSC,1.844
8430776,police,Chicago Police Department,0.626
8431721,restaurant,Parrot Cage Restaurant,1.027
8431721,university,Muhammad University of Islam,1.747
8431721,car_repair,Car-X Tire & Auto,1.901
8431721,school,Cheltenham Day Care Nursery and Kindergarten,1.000
8431721,real_estate_agency,Shorewind Towers Apartments,1.013
8431721,doctor,Angel Healthcare Services - Chicago,0.941
8431728,lodging,Holiday Inn Express & Suites Chicago-Midway Airport,0.640
8431728,lodging,Fairfield Inn & Suites by Marriott Chicago Midway Airport,0.717
8431728,lodging,Hilton Garden Inn Chicago Midway Airport,0.917
8431728,lodging,Hampton Inn Chicago-Midway Airport,0.608
8431728,department_store,Walmart Supercenter,1.249
8431728,department_store,Costco Wholesale,1.798
8432143,hospital,Norwegian American Hospital,1.110
8432143,meal_takeaway,Little Caesars Pizza,1.595
8432143,cafe,Star Lounge Coffee Bar (Dark Matter Coffee),1.701
8432143,doctor,Norwegian American Hospital: Anderson Joel R DPM,1.114
8432143,point_of_interest,Chicago Hot Glass Inc,1.105
8432143,school,Jacob Beidler Elementary School,1.246
8433189,department_store,Target,1.600
8433189,pharmacy,CVS Pharmacy,1.591
8433189,bank,Citibank,1.155
8433189,point_of_interest,Project Fame Upward Bound,1.767
8433189,point_of_interest,Allied Products Corporation,0.575
8433189,restaurant,New Little China,1.369
8433285,department_store,Walmart Supercenter,1.413
8433285,clothing_store,Burlington,1.855
8433285,point_of_interest,Accurate Industries,1.419
8433285,convenience_store,Cook Brothers,1.827
8433285,restaurant,Subway Restaurants,1.412
8433285,finance,Crown Royal Jewelry & Loan,1.731
8435079,hospital,Mount Sinai Hospital,0.849
8435079,school,Collins Academy,0.990
8435079,doctor,Saint Anthonys Hospital Cardiology,0.304
8435079,point_of_interest,Cinespace Chicago Film Studios,0.955
8435079,school,Maria Saucedo Scholastic Academy,0.869
8435079,home_goods_store,Textile Discount Outlet,1.868
8439685,hospital,Holy Cross Hospital,0.661
8439685,car_repair,Western Avenue Nissan,0.979
8439685,doctor,Goldstein Rachel a Do - Holy Cross Hospital,0.649
8439685,doctor,Leon Lillian R MD,0.631
8439685,doctor,Dr. Sandra T. Smith MD,0.649
8439685,doctor,Holy Cross Hospital: Javier Calvin MD,0.634
8439741,lodging,Holiday Inn Express & Suites Chicago-Midway Airport,1.234
8439741,lodging,Fairfield Inn & Suites by Marriott Chicago Midway Airport,1.384
8439741,lodging,Residence Inn by Marriott Chicago Midway Airport,1.613
8439741,bar,Coaches Sports Bar & Grill,1.508
8439741,bowling_alley,Lawn Lanes,1.078
8439741,convenience_store,Walgreens,0.981
8441263,department_store,Target,1.287
8441263,bakery,Dat Donut,0.749
8441263,point_of_interest,Let the World Know Chicago Party Place,1.043
8441263,bakery,Brown Sugar Bakery,1.566
8441263,grocery_or_supermarket,ALDI,1.157
8441263,general_contractor,A Smart Roofing,0.801
8441781,park,Foster Park,0.943
8441781,school,CICS Ralph Ellison High School,1.751
8441781,convenience_store,Walgreens,1.419
8441781,point_of_interest,PTC Security Training Academy,0.158
8441781,park,Ridge Park,1.829
8441781,restaurant,Burger King,1.413
8442388,department_store,Target,0.864
8442388,point_of_interest,RCN,1.544
8442388,department_store,Kmart,1.419
8442388,movie_theater,The Logan Theatre,1.078
8442388,grocery_or_supermarket,Joong Boo Market,1.012
8442388,restaurant,Fat Rice,0.645
8442450,point_of_interest,Hawthorne Works,1.687
8442450,school,KIPP Ascend Middle School,0.206
8442450,storage,Public Storage,1.385
8442450,convenience_store,Walgreens,1.873
8442450,school,North Lawndale College Prep High School,1.273
8442450,park,Franklin Park,0.777
8442913,school,St. Rita of Cascia High School,1.690
8442913,car_dealer,Car Credit Center,1.711
8442913,bank,Citibank,0.784
8442913,car_dealer,distance,1.517
8442913,point_of_interest,Holloway Hide A Way,0.878
8442913,restaurant,Subway Restaurants,1.689
8445469,point_of_interest,Soul Children of Chicago,0.732
8445469,post_office,United States Post Office - AuburnPk. Station,0.966
8445469,school,St. Rita of Cascia High School,1.980
8445469,church,Back to God Christian Reformed Church,1.215
8445469,restaurant,Subway Restaurants,1.330
8445469,bakery,BJs Market & Bakery,0.569
8446498,book_store,Loyola University Bookstore,1.881
8446498,department_store,Target,0.456
8446498,restaurant,Ghareeb Nawaz Restaurant,0.318
8446498,lodging,Heart O Chicago,1.016
8446498,cafe,The Coffee Studio,1.645
8446498,cafe,m.henry,1.538
8449854,hardware_store,Menards,1.724
8449854,school,Howe Elementary School,1.183
8449854,post_office,United States Postal Service,1.160
8449854,doctor,Dr. Kathleen E. Mcdonough MD,1.443
8449854,restaurant,MacArthurs Restaurant,1.819
8449854,school,Spencer Elementary Technology Academy,0.930
8450707,department_store,Walmart Supercenter,1.847
8450707,furniture_store,Studio41 Home Design Showroom,1.656
8450707,movie_theater,AMC Galewood Crossings 14,1.943
8450707,jewelry_store,New Era Jewelry and Coin,0.984
8450707,church,Chicago Tabernacle,1.319
8450707,clothing_store,Burlington,1.987
8451457,department_store,Walmart Supercenter,0.955
8451457,hardware_store,Menards,0.820
8451457,point_of_interest,McCormick YMCA,0.999
8451457,bar,Rosas Lounge,1.641
8451457,car_repair,ABC Automotive & Electronics,1.183
8451457,grocery_or_supermarket,Food 4 Less,1.425
8451458,department_store,Walmart Supercenter,0.861
8451458,hardware_store,Menards,0.643
8451458,furniture_store,Studio41 Home Design Showroom,1.799
8451458,meal_takeaway,Little Caesars Pizza,1.744
8451458,car_repair,ABC Automotive & Electronics,1.117
8451458,grocery_or_supermarket,Food 4 Less,1.291
8454851,hospital,Mount Sinai Hospital,1.315
8454851,bicycle_store,Working Bikes,0.937
8454851,school,Collins Academy,1.728
8454851,university,The Arturo Velasquez Westside Technical Instituite,1.259
8454851,restaurant,Subway Restaurants,1.299
8454851,meal_takeaway,Little Caesars Pizza,0.578
8456942,hospital,Norwegian American Hospital,0.985
8456942,point_of_interest,McCormick YMCA,1.386
8456942,lodging,Norford Hotel,1.449
8456942,furniture_store,Stone City,1.040
8456942,night_club,The California Clipper,1.218
8456942,point_of_interest,Chicago Hot Glass Inc,0.573
8459420,night_club,The Factory,1.989
8459420,school,Aldridge Elementary School,0.947
8459420,local_government_office,Metro Water Reclamation District,0.962
8459420,doctor,TCA Health Inc.,0.107
8459420,point_of_interest,Pier 11 Marina,1.305
8459420,point_of_interest,Innophos Inc,1.515
8460583,school,Carver Military Academy High School,1.068
8460583,school,Dubois Elementary School,1.028
8460583,local_government_office,Metro Water Reclamation District,0.530
8460583,storage,Rentner Marine Services,1.297
8460583,point_of_interest,Pier 11 Marina,1.078
8460583,point_of_interest,Georgia-Pacific Corporation,1.244
8461701,hospital,Holy Cross Hospital,1.479
8461701,meal_takeaway,Little Caesars Pizza,0.837
8461701,doctor,Holy Cross Hospital: Arjmand Susan B MD,1.488
8461701,doctor,Holy Cross Hospital: Amin Sanjay J MD,1.488
8461701,doctor,Holy Cross Hospital: Javier Calvin MD,1.477
8461701,doctor,Eye Surgeons & Consultants Ltd,1.488
8461707,hospital,Holy Cross Hospital,1.330
8461707,doctor,Goldstein Rachel a Do - Holy Cross Hospital,1.337
8461707,doctor,Holy Cross Hospital: Arjmand Susan B MD,1.337
8461707,doctor,Leon Lillian R MD,1.343
8461707,doctor,Holy Cross Hospital: Javier Calvin MD,1.322
8461707,doctor,Eye Surgeons & Consultants Ltd,1.337
8461708,hospital,Holy Cross Hospital,1.338
8461708,doctor,Goldstein Rachel a Do - Holy Cross Hospital,1.345
8461708,doctor,Holy Cross Hospital: Arjmand Susan B MD,1.345
8461708,doctor,Leon Lillian R MD,1.350
8461708,doctor,Holy Cross Hospital: Javier Calvin MD,1.329
8461708,doctor,Eye Surgeons & Consultants Ltd,1.345
8462244,hospital,Little Company of Mary Hospital,1.745
8462244,electronics_store,Sprint Store,1.515
8462244,school,Evergreen Park Community High School,1.012
8462244,restaurant,Chipotle Mexican Grill,1.890
8462244,health,Research By Design LLC,1.290
8462244,doctor,Ramesh Soundararajan M.D.,1.270
8462334,school,Chicago Jesuit Academy,1.097
8462334,school,Austin College and Career Academy,1.783
8462334,grocery_or_supermarket,ALDI,1.576
8462334,point_of_interest,Alpha Baking Co Inc,1.616
8462334,gas_station,BP,1.397
8462334,store,Boost Mobile,1.444
8462470,department_store,Target,1.356
8462470,pharmacy,CVS Pharmacy,1.339
8462470,point_of_interest,Project Fame Upward Bound,1.468
8462470,electronics_store,AT&T Store,1.055
8462470,clothing_store,Nike Factory Store,1.346
8462470,shoe_store,The Childrens Place,1.093
8463481,doctor,University of Chicago Med Center: Balabanov Roumen D MD,1.317
8463481,doctor,University of Chicago Med Center: Strek Mary E MD,1.317
8463481,hospital,University of Chicago Medicine,1.383
8463481,doctor,Dr. Walter M. Stadler MD,1.317
8463481,doctor,University of Chicago Hospital: Walter James MD,1.317
8463481,doctor,University of Chicago: Mojica Gioconda MD,1.317
8466997,school,Simeon Career Academy,1.395
8466997,bakery,Brown Sugar Bakery,1.380
8466997,plumber,All Weather Specialist Inc,0.205
8466997,school,Lenart Elementary Regional Gifted Center,1.375
8466997,restaurant,Subway Restaurants,1.265
